SymTableEntry: <name>=objecttotalmembers, <args>=VOID, <scope>=0, <line>=0, <type>=library function
SymTableEntry: <name>=cos, <args>=VOID, <scope>=0, <line>=0, <type>=library function
SymTableEntry: <name>=print, <args>=VOID, <scope>=0, <line>=0, <type>=library function
SymTableEntry: <name>=strtonum, <args>=VOID, <scope>=0, <line>=0, <type>=library function
SymTableEntry: <name>=objectcopy, <args>=VOID, <scope>=0, <line>=0, <type>=library function
SymTableEntry: <name>=totalarguments, <args>=VOID, <scope>=0, <line>=0, <type>=library function
SymTableEntry: <name>=sin, <args>=VOID, <scope>=0, <line>=0, <type>=library function
SymTableEntry: <name>=objectmemberkeys, <args>=VOID, <scope>=0, <line>=0, <type>=library function
SymTableEntry: <name>=input, <args>=VOID, <scope>=0, <line>=0, <type>=library function
SymTableEntry: <name>=sqrt, <args>=VOID, <scope>=0, <line>=0, <type>=library function
SymTableEntry: <name>=typeof, <args>=VOID, <scope>=0, <line>=0, <type>=library function
SymTableEntry: <name>=argument, <args>=VOID, <scope>=0, <line>=0, <type>=library function
